DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,265.00,VCF,268.00,283.50,265.00,10220.00
28/12/2017,265.00,VCF,256.00,271.00,256.00,6810.00
27/12/2017,254.00,VCF,254.00,255.00,254.00,870.00
26/12/2017,258.00,VCF,257.00,258.00,257.00,50.00
25/12/2017,253.00,VCF,253.00,254.00,252.80,1110.00
22/12/2017,254.00,VCF,254.00,254.00,254.00,0.00
21/12/2017,254.00,VCF,255.00,255.00,254.00,290.00
20/12/2017,252.00,VCF,250.00,254.90,250.00,620.00
19/12/2017,258.80,VCF,246.00,258.80,245.00,270.00
18/12/2017,256.00,VCF,246.00,256.00,246.00,110.00
15/12/2017,245.00,VCF,248.20,248.20,245.00,220.00
14/12/2017,250.00,VCF,247.00,250.00,247.00,160.00
13/12/2017,251.20,VCF,260.00,260.00,251.20,640.00
12/12/2017,260.00,VCF,255.50,260.00,250.00,480.00
11/12/2017,255.50,VCF,255.00,260.00,255.00,860.00
08/12/2017,260.00,VCF,263.00,263.00,260.00,1290.00
07/12/2017,246.10,VCF,246.00,246.10,246.00,1290.00
06/12/2017,230.00,VCF,230.00,230.00,230.00,350.00
05/12/2017,215.00,VCF,201.00,215.00,201.00,1110.00
04/12/2017,201.00,VCF,201.00,201.00,201.00,10.00
01/12/2017,205.00,VCF,205.00,205.00,205.00,0.00
30/11/2017,205.00,VCF,219.00,220.00,205.00,2540.00
29/11/2017,220.00,VCF,217.00,220.00,200.00,290.00
28/11/2017,210.00,VCF,210.00,210.00,210.00,10.00
27/11/2017,214.00,VCF,201.00,214.00,201.00,360.00
24/11/2017,200.00,VCF,200.00,200.00,200.00,0.00
23/11/2017,200.00,VCF,200.00,200.00,200.00,0.00
22/11/2017,200.00,VCF,200.00,200.00,200.00,10.00
21/11/2017,210.00,VCF,209.00,210.00,209.00,3900.00
20/11/2017,205.00,VCF,205.00,205.00,205.00,130.00
17/11/2017,210.00,VCF,210.00,210.00,210.00,0.00
16/11/2017,210.00,VCF,199.00,210.00,194.40,2460.00
15/11/2017,209.00,VCF,209.00,209.00,209.00,0.00
14/11/2017,209.00,VCF,199.90,209.00,199.90,870.00
13/11/2017,200.00,VCF,200.00,200.00,200.00,0.00
10/11/2017,200.00,VCF,200.00,200.00,200.00,0.00
09/11/2017,200.00,VCF,200.00,200.00,200.00,1550.00
08/11/2017,202.00,VCF,215.00,215.00,202.00,2230.00
07/11/2017,205.00,VCF,201.00,205.00,201.00,2160.00
06/11/2017,201.00,VCF,200.00,201.00,186.00,1150.00
03/11/2017,200.00,VCF,200.00,200.00,200.00,280.00
02/11/2017,202.00,VCF,200.00,202.00,200.00,400.00
01/11/2017,202.00,VCF,202.00,202.00,202.00,0.00
31/10/2017,202.00,VCF,187.00,202.00,187.00,310.00
30/10/2017,200.00,VCF,200.00,200.00,200.00,350.00
27/10/2017,200.00,VCF,200.00,200.00,200.00,0.00
26/10/2017,200.00,VCF,200.00,200.00,200.00,0.00
25/10/2017,200.00,VCF,200.00,200.00,200.00,0.00
